domain,sheet_type,head,relation,tail,vote
check-out,Contrary(P)Body(N),no_evident_not_good_check-out_time,CONTRARY_TO,staff_not_allow_late_check-out_for_delay_plane,Yes
check-out,Contrary(P)Body(N),no_evident_not_allow_to_check-out_later,CONTRARY_TO,staff_not_allow_late_check-out_for_delay_plane,Yes
check-out,Contrary(P)Body(N),no_evident_not_fast_check-out,NOT_CONTRARY,staff_not_allow_late_check-out_for_delay_plane,No
check-out,Contrary(P)Body(N),no_evident_not_no_problem_left_at_night,NOT_CONTRARY,staff_not_allow_late_check-out_for_delay_plane,No
check-out,Contrary(P)Body(N),no_evident_not_staff_give_early_check-out,NOT_CONTRARY,staff_not_allow_late_check-out_for_delay_plane,No
check-out,Contrary(P)Body(N),no_evident_not_late_departure_no_extra_cost,CONTRARY_TO,staff_not_allow_late_check-out_for_delay_plane,Yes
check-out,Contrary(P)Body(N),no_evident_not_hotel_allow_late_departure,CONTRARY_TO,staff_not_allow_late_check-out_for_delay_plane,Yes
check-out,Contrary(P)Body(N),no_evident_not_possibility_for_late_check_out,CONTRARY_TO,staff_not_allow_late_check-out_for_delay_plane,Yes
check-out,Contrary(N)Body(P),have_evident_staff_not_allow_late_check-out_for_delay_plane,CONTRARY_TO,good_check-out_time,Yes
check-out,Contrary(N)Body(P),have_evident_staff_not_allow_late_check-out_for_delay_plane,CONTRARY_TO,allow_to_check-out_later,Yes
check-out,Contrary(N)Body(P),have_evident_staff_not_allow_late_check-out_for_delay_plane,NOT_CONTRARY,fast_check-out,No
check-out,Contrary(N)Body(P),have_evident_staff_not_allow_late_check-out_for_delay_plane,NOT_CONTRARY,no_problem_left_at_night,No
check-out,Contrary(N)Body(P),have_evident_staff_not_allow_late_check-out_for_delay_plane,NOT_CONTRARY,staff_give_early_check-out,No
check-out,Contrary(N)Body(P),have_evident_staff_not_allow_late_check-out_for_delay_plane,CONTRARY_TO,late_departure_no_extra_cost,Yes
check-out,Contrary(N)Body(P),have_evident_staff_not_allow_late_check-out_for_delay_plane,CONTRARY_TO,hotel_allow_late_departure,Yes
check-out,Contrary(N)Body(P),have_evident_staff_not_allow_late_check-out_for_delay_plane,CONTRARY_TO,possibility_for_late_check_out,Yes
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in,NOT_CONTRARY,no_one_give_key_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in,NOT_CONTRARY,door_lock_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in,CONTRARY_TO,customer_wait_10_minute_for_greet,Yes
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in,CONTRARY_TO,staff_misunderstand_on_payment,Yes
check-in,Contrary(P)Body(N),no_evident_not_easy_check-in,CONTRARY_TO,staff_take_picture_of_passport,Yes
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_access_room,NOT_CONTRARY,no_one_give_key_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_access_room,NOT_CONTRARY,door_lock_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_access_room,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_access_room,NOT_CONTRARY,customer_wait_10_minute_for_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_access_room,NOT_CONTRARY,staff_misunderstand_on_payment,No
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_access_room,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_enter_hotel,NOT_CONTRARY,no_one_give_key_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_enter_hotel,NOT_CONTRARY,door_lock_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_enter_hotel,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_enter_hotel,NOT_CONTRARY,customer_wait_10_minute_for_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_enter_hotel,NOT_CONTRARY,staff_misunderstand_on_payment,No
check-in,Contrary(P)Body(N),no_evident_not_clear_instruction_to_enter_hotel,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_sent_instruction_in_advance,NOT_CONTRARY,no_one_give_key_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_sent_instruction_in_advance,NOT_CONTRARY,door_lock_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_sent_instruction_in_advance,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_sent_instruction_in_advance,NOT_CONTRARY,customer_wait_10_minute_for_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_sent_instruction_in_advance,NOT_CONTRARY,staff_misunderstand_on_payment,No
check-in,Contrary(P)Body(N),no_evident_not_sent_instruction_in_advance,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_perfect_instruction,NOT_CONTRARY,no_one_give_key_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_perfect_instruction,NOT_CONTRARY,door_lock_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_perfect_instruction,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_perfect_instruction,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_perfect_instruction,NOT_CONTRARY,staff_misunderstand_on_payment,No
check-in,Contrary(P)Body(N),no_evident_not_perfect_instruction,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_easy_late_night_check-in,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_easy_late_night_check-in,CONTRARY_TO,door_lock_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_easy_late_night_check-in,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_easy_late_night_check-in,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_easy_late_night_check-in,CONTRARY_TO,staff_misunderstand_on_payment,Yes
check-in,Contrary(P)Body(N),no_evident_not_easy_late_night_check-in,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_comfortable_late_night_check-in,CONTRARY_TO,no_one_give_key_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_comfortable_late_night_check-in,CONTRARY_TO,door_lock_on_late_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_comfortable_late_night_check-in,CONTRARY_TO,customer_wait_10_minute_for_greet,Yes
check-in,Contrary(P)Body(N),no_evident_not_comfortable_late_night_check-in,CONTRARY_TO,customer_wait_10_minute_for_check-in,Yes
check-in,Contrary(P)Body(N),no_evident_not_comfortable_late_night_check-in,CONTRARY_TO,staff_misunderstand_on_payment,Yes
check-in,Contrary(P)Body(N),no_evident_not_comfortable_late_night_check-in,CONTRARY_TO,staff_take_picture_of_passport,Yes
check-in,Contrary(P)Body(N),no_evident_not_easy_self_check-in,NOT_CONTRARY,no_one_give_key_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_easy_self_check-in,NOT_CONTRARY,door_lock_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_easy_self_check-in,NOT_CONTRARY,customer_wait_10_minute_for_greet,No
check-in,Contrary(P)Body(N),no_evident_not_easy_self_check-in,NOT_CONTRARY,customer_wait_10_minute_for_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_easy_self_check-in,NOT_CONTRARY,staff_misunderstand_on_payment,No
check-in,Contrary(P)Body(N),no_evident_not_easy_self_check-in,NOT_CONTRARY,staff_take_picture_of_passport,No
check-in,Contrary(P)Body(N),no_evident_not_quick_check-in,NOT_CONTRARY,no_one_give_key_on_late_check-in,No
check-in,Contrary(P)Body(N),no_evident_not_quick_check-in,NOT_CONTRARY,door_lock_on_late_check-in,No
