domain,sheet_type,head,relation,tail,vote,
check-out,Contrary(P)Body(N),no_evident_not_good_check-out_time,CONTRARY_TO,staff_not_allow_late_check-out_for_delay_plane,Yes,UNIQUE
check-out,Contrary(P)Body(N),no_evident_not_allow_to_check-out_later,CONTRARY_TO,staff_not_allow_late_check-out_for_delay_plane,Yes,UNIQUE
check-out,Contrary(P)Body(N),no_evident_not_fast_check-out,NOT_CONTRARY,staff_not_allow_late_check-out_for_delay_plane,No,UNIQUE
check-out,Contrary(P)Body(N),no_evident_not_no_problem_left_at_night,NOT_CONTRARY,staff_not_allow_late_check-out_for_delay_plane,No,UNIQUE
check-out,Contrary(P)Body(N),no_evident_not_staff_give_early_check-out,NOT_CONTRARY,staff_not_allow_late_check-out_for_delay_plane,No,UNIQUE
check-out,Contrary(P)Body(N),no_evident_not_late_departure_no_extra_cost,CONTRARY_TO,staff_not_allow_late_check-out_for_delay_plane,Yes,UNIQUE
check-out,Contrary(P)Body(N),no_evident_not_hotel_allow_late_departure,CONTRARY_TO,staff_not_allow_late_check-out_for_delay_plane,Yes,UNIQUE
check-out,Contrary(P)Body(N),no_evident_not_possibility_for_late_check_out,CONTRARY_TO,staff_not_allow_late_check-out_for_delay_plane,Yes,UNIQUE
check-out,Contrary(N)Body(P),have_evident_staff_not_allow_late_check-out_for_delay_plane,CONTRARY_TO,good_check-out_time,Yes,UNIQUE
check-out,Contrary(N)Body(P),have_evident_staff_not_allow_late_check-out_for_delay_plane,CONTRARY_TO,allow_to_check-out_later,Yes,UNIQUE
check-out,Contrary(N)Body(P),have_evident_staff_not_allow_late_check-out_for_delay_plane,NOT_CONTRARY,fast_check-out,No,UNIQUE
check-out,Contrary(N)Body(P),have_evident_staff_not_allow_late_check-out_for_delay_plane,NOT_CONTRARY,no_problem_left_at_night,No,UNIQUE
check-out,Contrary(N)Body(P),have_evident_staff_not_allow_late_check-out_for_delay_plane,NOT_CONTRARY,staff_give_early_check-out,No,UNIQUE
check-out,Contrary(N)Body(P),have_evident_staff_not_allow_late_check-out_for_delay_plane,CONTRARY_TO,late_departure_no_extra_cost,Yes,UNIQUE
check-out,Contrary(N)Body(P),have_evident_staff_not_allow_late_check-out_for_delay_plane,CONTRARY_TO,hotel_allow_late_departure,Yes,UNIQUE
check-out,Contrary(N)Body(P),have_evident_staff_not_allow_late_check-out_for_delay_plane,CONTRARY_TO,possibility_for_late_check_out,Yes,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_good_check-out_time,NOT_CONTRARY,good_check-out_time,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_good_check-out_time,NOT_CONTRARY,allow_to_check-out_later,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_good_check-out_time,NOT_CONTRARY,fast_check-out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_good_check-out_time,NOT_CONTRARY,no_problem_left_at_night,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_good_check-out_time,NOT_CONTRARY,staff_give_early_check-out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_good_check-out_time,NOT_CONTRARY,late_departure_no_extra_cost,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_good_check-out_time,NOT_CONTRARY,hotel_allow_late_departure,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_good_check-out_time,NOT_CONTRARY,possibility_for_late_check_out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_allow_to_check-out_later,NOT_CONTRARY,good_check-out_time,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_allow_to_check-out_later,NOT_CONTRARY,allow_to_check-out_later,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_allow_to_check-out_later,NOT_CONTRARY,fast_check-out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_allow_to_check-out_later,NOT_CONTRARY,no_problem_left_at_night,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_allow_to_check-out_later,NOT_CONTRARY,staff_give_early_check-out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_allow_to_check-out_later,NOT_CONTRARY,late_departure_no_extra_cost,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_allow_to_check-out_later,NOT_CONTRARY,hotel_allow_late_departure,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_allow_to_check-out_later,NOT_CONTRARY,possibility_for_late_check_out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_fast_check-out,NOT_CONTRARY,good_check-out_time,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_fast_check-out,NOT_CONTRARY,allow_to_check-out_later,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_fast_check-out,NOT_CONTRARY,fast_check-out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_fast_check-out,NOT_CONTRARY,no_problem_left_at_night,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_fast_check-out,NOT_CONTRARY,staff_give_early_check-out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_fast_check-out,NOT_CONTRARY,late_departure_no_extra_cost,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_fast_check-out,NOT_CONTRARY,hotel_allow_late_departure,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_fast_check-out,NOT_CONTRARY,possibility_for_late_check_out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_no_problem_left_at_night,NOT_CONTRARY,good_check-out_time,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_no_problem_left_at_night,NOT_CONTRARY,allow_to_check-out_later,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_no_problem_left_at_night,NOT_CONTRARY,fast_check-out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_no_problem_left_at_night,NOT_CONTRARY,no_problem_left_at_night,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_no_problem_left_at_night,NOT_CONTRARY,staff_give_early_check-out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_no_problem_left_at_night,NOT_CONTRARY,late_departure_no_extra_cost,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_no_problem_left_at_night,NOT_CONTRARY,hotel_allow_late_departure,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_no_problem_left_at_night,NOT_CONTRARY,possibility_for_late_check_out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_staff_give_early_check-out,NOT_CONTRARY,good_check-out_time,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_staff_give_early_check-out,NOT_CONTRARY,allow_to_check-out_later,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_staff_give_early_check-out,NOT_CONTRARY,fast_check-out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_staff_give_early_check-out,NOT_CONTRARY,no_problem_left_at_night,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_staff_give_early_check-out,NOT_CONTRARY,staff_give_early_check-out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_staff_give_early_check-out,NOT_CONTRARY,late_departure_no_extra_cost,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_staff_give_early_check-out,NOT_CONTRARY,hotel_allow_late_departure,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_staff_give_early_check-out,NOT_CONTRARY,possibility_for_late_check_out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_late_departure_no_extra_cost,NOT_CONTRARY,good_check-out_time,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_late_departure_no_extra_cost,NOT_CONTRARY,allow_to_check-out_later,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_late_departure_no_extra_cost,NOT_CONTRARY,fast_check-out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_late_departure_no_extra_cost,NOT_CONTRARY,no_problem_left_at_night,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_late_departure_no_extra_cost,NOT_CONTRARY,staff_give_early_check-out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_late_departure_no_extra_cost,NOT_CONTRARY,late_departure_no_extra_cost,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_late_departure_no_extra_cost,NOT_CONTRARY,hotel_allow_late_departure,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_late_departure_no_extra_cost,NOT_CONTRARY,possibility_for_late_check_out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_hotel_allow_late_departure,NOT_CONTRARY,good_check-out_time,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_hotel_allow_late_departure,NOT_CONTRARY,allow_to_check-out_later,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_hotel_allow_late_departure,NOT_CONTRARY,fast_check-out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_hotel_allow_late_departure,NOT_CONTRARY,no_problem_left_at_night,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_hotel_allow_late_departure,NOT_CONTRARY,staff_give_early_check-out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_hotel_allow_late_departure,NOT_CONTRARY,late_departure_no_extra_cost,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_hotel_allow_late_departure,NOT_CONTRARY,hotel_allow_late_departure,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_hotel_allow_late_departure,NOT_CONTRARY,possibility_for_late_check_out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_possibility_for_late_check_out,NOT_CONTRARY,good_check-out_time,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_possibility_for_late_check_out,NOT_CONTRARY,allow_to_check-out_later,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_possibility_for_late_check_out,NOT_CONTRARY,fast_check-out,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_possibility_for_late_check_out,NOT_CONTRARY,no_problem_left_at_night,No,UNIQUE
check-out,Contrary(P)Body(P),no_evident_not_possibility_for_late_check_out,NOT_CONTRARY,staff_give_early_check-out,No,UNIQUE
